Transaction Hash,BlockNo,DateTime (UTC),Action,Price,Market,Buyer Address,Buyer Name,Type,Item,Quantity
"0xd2454b65634eb5fc89d29d1969e5bb13fe501514d8399842ee0a7fb94625fee6","22412755","2025-05-04 20:24:11","Bought","2.27WETH ($4,168.09)","Seaport","0xfb6c769a5844d19d6228023a09f9F4F09e5f1f94","capitalismrules.eth","ERC-721","LilPudgys","1"
"0x5155e0dfaf4250bb95e25b33d91ed912a9b30e0c1fc6e09d71f328fb2646fab8","22412370","2025-05-04 19:06:11","Bought","1.51WETH ($2,772.60)","Seaport","0xeb79F3b9836e14678aBDB862aAbFc171341b3199","","ERC-721","LilPudgys","1"
"0x0e875552bd1864f67e5c5e29dd12ee7d2bdee33a9ca59d60eecb8ba6b3584e7b","22412093","2025-05-04 18:10:47","Bought","1.527ETH ($2,803.82)","Seaport","0x1b4862F983AA573518B612f1bb1579F4b02796CB","dontoshix.eth","ERC-721","LilPudgys","1"
"0xa5ed7c8e81475c0ffd428a5535edf06a7e8b446eab51e8acefc1b8bdf9cbcb9b","22411486","2025-05-04 16:08:35","Bought","1.5WETH ($2,754.24)","Seaport","0x9a3C64F93f609083cB122273c99e0B99762a2EaC","fbazili.eth","ERC-721","LilPudgys","1"
"0xd66af4cd8c2fd7c1576bb8148671833293abd55c9050e4dc898b3ebedd972f26","22411327","2025-05-04 15:36:35","Bought","1.51WETH ($2,772.60)","Seaport","0xaC1532DcA25d4129fa8803574F9832E63A0bF2DF","","ERC-721","LilPudgys","1"
"0xd66af4cd8c2fd7c1576bb8148671833293abd55c9050e4dc898b3ebedd972f26","22411327","2025-05-04 15:36:35","Bought","1.51WETH ($2,772.60)","Seaport","0x94e9D73a2aEEC807d85756B84759965b41866450","","ERC-721","LilPudgys","1"
"0xbfe9f5262c413c68c4df2069b1b4808251e128b2bc5ce8fe286fb889d940ae28","22410217","2025-05-04 11:51:35","Bought","1.5489ETH ($2,844.03)","Seaport","0x7CA00F467AA8c555EC742F5f6B001dA967f65748","","ERC-721","LilPudgys","1"
"0x1937cabfa85ea3ad96c072a51e733e0c4c24cedb73f6b77f5057efe65b06a233","22410168","2025-05-04 11:41:47","Bought","1.51WETH ($2,772.60)","Seaport","0xd369F5Bab78FF512a55e9F06732eeD9B28347c65","","ERC-721","LilPudgys","1"
"0x973c01b09468e3185aa10fd3c556de4db9d72d42e32ce77579df9da520f52e4a","22409990","2025-05-04 11:05:47","Bought","1.52WETH ($2,790.97)","Seaport","0x96E4A596087b811D61216684A4D87C688C6cbFFa","","ERC-721","LilPudgys","1"
"0x3ebcf26eb88da28a3cc6e543299388e75b3802d0fa22679fb3dfe9dfe99df127","22409774","2025-05-04 10:22:23","Bought","1.53WETH ($2,809.33)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0x36b1ac5ae783207e7e8fe563fe0dd503babec54682cf9813d4a2790a562502bb","22408874","2025-05-04 07:20:11","Bought","1.53WETH ($2,809.33)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0x83555d372506e2677489fb1c488c29bc445f3a786d5d0904ba175b6c8aef45cd","22408636","2025-05-04 06:31:59","Bought","1.543ETH ($2,833.20)","Seaport","0x974F2ddfCE995900e5d41Fbb9baFc2de3097C738","","ERC-721","LilPudgys","1"
"0x6627c0be1a2fa688f71fb480dde1d51c82ce879750f409741e258ce68a36595e","22407365","2025-05-04 02:15:47","Bought","1.54ETH ($2,827.69)","Seaport","0x1b4862F983AA573518B612f1bb1579F4b02796CB","dontoshix.eth","ERC-721","LilPudgys","1"
"0xfe85ca686f82b17ba1a8ea774590e4d705fe3df9dbf5e9cf0aa74bafa376f97c","22406785","2025-05-04 00:18:47","Bought","1.59ETH ($2,919.50)","OpenSea","0xa7e9bAc676064af955473D527D3BE5338d14E160","","ERC-721","LilPudgys","1"
"0xc49c0c790de500e02f192fc13b4138979b48d0a30d12412ba974acbebc33e2e2","22406644","2025-05-03 23:50:11","Bought","1.59ETH ($2,915.98)","Seaport","0xb2D0B117d36CD9A74bAfDb3D01FF754B30A66e23","gmforu.eth","ERC-721","LilPudgys","1"
"0x8063ac6ed872616e262f191d6a7be3a95e819ad8703d56488de8d2fac0147510","22406456","2025-05-03 23:11:47","Bought","1.599ETH ($2,932.49)","Seaport","0xB200e3EdAEd8Ec5E58E1CA8b80838fE967EBC4E6","","ERC-721","LilPudgys","1"
"0x758ff7810e21304a42b7e442672c1dc91bee5887fe609350bb8fbbd93abfa198","22406426","2025-05-03 23:05:47","Bought","1.71ETH ($3,136.05)","Seaport","0xB200e3EdAEd8Ec5E58E1CA8b80838fE967EBC4E6","","ERC-721","LilPudgys","1"
"0x658e3b8a52e741ac2f356136390b97b983463de5a56ee66200171a37236ce7e5","22406312","2025-05-03 22:42:59","Bought","1.52WETH ($2,787.60)","Seaport","0x512C15b16ADA14Aa777a64dF34a5f2eC7A58aac5","otter1984.eth","ERC-721","LilPudgys","1"
"0x2289b436291a0a810d1eb31e9e5968f524b58563f0d2d45fb476619a5d77d703","22405556","2025-05-03 20:10:47","Bought","1.52WETH ($2,787.60)","Seaport","0x96E4A596087b811D61216684A4D87C688C6cbFFa","","ERC-721","LilPudgys","1"
"0xbed23da8db42d2ca16278e3f9e9dcd9ae0a223b05a7f5ec825a2b72f4bfa366e","22405406","2025-05-03 19:40:35","Bought","1.52WETH ($2,787.60)","Seaport","0x512C15b16ADA14Aa777a64dF34a5f2eC7A58aac5","otter1984.eth","ERC-721","LilPudgys","1"
"0xb6b39c9cc308828b45897d0023d731c0e5ce5e2af935ebf86b2821c40ad6072a","22404927","2025-05-03 18:03:35","Bought","1.54WETH ($2,824.28)","Seaport","0xd71D5c7Ad0FeEEEc6Ff138d76c29C55b71038d33","","ERC-721","LilPudgys","1"
"0xe2b5d15073043d9891cf57864da6844163f2f46c09ad448b03fd93a88b879212","22404780","2025-05-03 17:34:11","Bought","1.54WETH ($2,824.28)","Seaport","0x2487E611fF876C101DD2B31758102953F4760Af5","","ERC-721","LilPudgys","1"
"0xb0fd26f38377c857825396efd2b93a34a7941f11f9f98f993bfaa68c2dd1faf9","22404535","2025-05-03 16:44:47","Bought","1.53WETH ($2,805.94)","Seaport","0xeb79F3b9836e14678aBDB862aAbFc171341b3199","","ERC-721","LilPudgys","1"
"0xa4f37a2f4af9b4104b77c016a3b61266e1549550655882e536f29ae95d9bd19d","22404531","2025-05-03 16:43:59","Bought","1.643ETH ($3,013.18)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x1591daa50a11016c0729b2cf117a01072a232c3922884f47ec463eb9ebeed4a2","22404530","2025-05-03 16:43:47","Bought","1.54ETH ($2,824.28)","Seaport","0x69a56ECe3902bd96952cd2b1F4165E786Ba9E3d0","","ERC-721","LilPudgys","1"
"0xb78f09141ea234ecac1348fec5d7adfe9514e1667a8c1a4127d7bd6b489c5379","22404159","2025-05-03 15:29:35","Bought","1.51WETH ($2,769.26)","Seaport","0x504f998AaA20904Da32C42c6e4473D4e83A4BDcA","","ERC-721","LilPudgys","1"
"0x715c90e1d5269d7bbfc4248cab8ae638d2141ac2dec4d15b540cee1c6ee4e921","22402430","2025-05-03 09:42:59","Bought","1.59ETH ($2,915.98)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
"0x31487fe9f909a6062575efde78a728d2ebce471736676b2a7920177417a0db5d","22401134","2025-05-03 05:21:23","Bought","1.8ETH ($3,301.11)","Seaport","0x873aC0C0Ec47735D521ee38A359DcA14b64B636E","","ERC-721","LilPudgys","1"
